Element Label,S11,S22,S33,S12,S13,S23,Mises
575,-5247.069,2517.7031,-1215.6421,2724.8494,-2633.3757,-5374.1494,13227.3896484375
576,-14200.966,-14436.71,-7655.2285,-1563.1093,4721.176,-5996.54,15050.5576171875
577,48508.71,57075.047,67901.72,124.22566,-8117.6274,-95.36411,21934.107421875
578,-30914.535,-27828.895,-42488.285,70.33551,-1128.8939,-3885.4297,15110.03125
579,6026.0146,6515.1084,6559.445,-3049.6968,-3763.0298,-417.51248,8436.1689453125
580,-3165.691,-18227.467,14364.715,174.75255,-1116.6433,3623.8228,29007.58203125
581,-22110.219,-36360.13,-29225.242,5945.316,-3597.534,13404.401,28917.0546875
582,-46177.55,-62486.316,-73027.05,-17698.473,-911.438,975.826,38652.88671875
583,24802.53,33774.133,3511.663,-14244.555,407.95175,5988.778,37968.69140625
584,-39685.918,-19294.035,-18472.117,18066.912,2850.258,4874.1226,38834.87890625
585,-10864.411,-15777.243,-11590.624,17712.797,1463.7004,8490.161,34423.83984375
